Post_link,Post_language,Number_of_likes,Number_of_comments,Date_posted,Content_type,Content_format,Number_of_quotes,Number_of_reposts,View_count
https://x.com/DM4HypeGuy/status/1798102294808129801,English,20,0,"2024-06-04 14:19:00","No text","text, picture",0,3,953
https://x.com/DM4HypeGuy/status/1798100987946942816,English,47,5,"2024-06-04 14:14:00","Express thoughts","text, picture",1,5,1917
https://x.com/maickel1979/status/1798085597212311748,English,4,3,"2024-06-04 13:13:00","Express thoughts","text, picture",0,0,549
https://x.com/Minions_Fanboy/status/1798079317903327639,English,1,0,"2024-06-04 12:48:00","No text","text, picture",0,2,1073
https://x.com/Minions_Fanboy/status/1798079001917108458,English,31,2,"2024-06-04 12:46:00","Express thoughts","text, picture",1,8,1621
https://x.com/DespicableAnita/status/1798025836551155968,English,30,0,"2024-06-04 09:15:00","Express thoughts","text, picture",0,7,862
https://x.com/PMaratonando/status/1798014999874679179,Portuguese,3,0,"2024-06-04 08:32:00","Express thoughts","text, picture",0,0,189
https://x.com/grucyloverr/status/1798009923340763161,English,21,0,"2024-06-04 08:12:00","Express thoughts","text, picture",2,3,643
https://x.com/grucyloverr/status/1798007046853517708,English,1,0,"2024-06-04 08:00:00","No text","text, picture",0,3,512
https://x.com/CinematizandoOf/status/1798006164699206110,Portuguese,3,0,"2024-06-04 07:57:00",Announcement,"text, picture",0,0,217
https://x.com/DM4HypeGuy/status/1797995359425470628,English,674,4,"2024-06-04 07:14:00",Announcement,"text, video",3,102,13900
https://x.com/theCinemaholic/status/1797992119451439301,English,0,0,"2024-06-04 07:01:00",Announcement,"text, picture",0,0,174
https://x.com/UIPTurkiye/status/1797987456144609763,Turkish,0,0,"2024-06-04 06:43:00",Announcement,"text, picture",0,0,292
https://x.com/DM4HypeGuy/status/1797984230980645008,English,508,12,"2024-06-04 06:30:00",Announcement,"text, video",5,77,32500
https://x.com/ilovesureseats/status/1797961508489478638,English,0,0,"2024-06-04 05:00:00",Announcement,"text, picture",0,0,187
https://x.com/VOX_Cinemas_KSA/status/1797961568480567806,Arabic,5,2,"2024-06-04 05:00:00",Announcement,"text, video",0,0,4980
https://x.com/UniversalIND/status/1797959302961140165,English,26,0,"2024-06-04 04:51:00","Express thoughts","text, video",2,9,1734
https://x.com/CalendarsUK/status/1797930572578537811,English,6,1,"2024-06-04 02:57:00",Announcement,"text, picture",0,0,398
https://x.com/agscinemas/status/1797896902710903026,English,12,1,"2024-06-04 00:43:00",Announcement,"text, video",0,0,3350
https://x.com/Minions_Fanboy/status/1797843567454691590,English,30,2,"2024-06-03 21:11:00","Express thoughts","text, picture",0,4,1935
https://x.com/Minions_Fanboy/status/1797831541139337276,English,396,5,"2024-06-03 20:23:00","No text","text, video",0,53,49200
https://x.com/DM4HypeGuy/status/1797822417768951884,English,15,0,"2024-06-03 19:47:00","Express thoughts","text, picture",1,4,1941
https://x.com/DM4HypeGuy/status/1797820266443350224,English,41,5,"2024-06-03 19:38:00","Express thoughts","text, picture",2,7,6726
https://x.com/niknikmin/status/1797814611229786264,English,7,0,"2024-06-03 19:16:00","Express thoughts","text, picture",0,0,200
https://x.com/DM4HypeGuy/status/1797800496511766935,English,28,1,"2024-06-03 18:20:00",Announcement,"text, picture",0,3,981
https://x.com/DorothyDalmati1/status/1797795223655112923,English,2,0,"2024-06-03 17:59:00","Express thoughts","text, picture",0,0,171
https://x.com/DM4HypeGuy/status/1797788121033056370,English,37,2,"2024-06-03 17:31:00","No text","text, picture",0,6,1153
https://x.com/DM4HypeGuy/status/1797785450834235477,English,46,0,"2024-06-03 17:20:00","Express thoughts","text, picture",0,2,1060
https://x.com/DM4HypeGuy/status/1797784817326588023,English,40,0,"2024-06-03 17:17:00","Express thoughts","text, picture",1,4,1147
https://x.com/DM4HypeGuy/status/1797783878624526365,English,107,4,"2024-06-03 17:14:00","Express thoughts, announcement","text, picture",0,21,2703
https://x.com/JuanLoz78948450/status/1797782366301069581,English,30,0,"2024-06-03 17:08:00",Announcement,"text, picture",1,12,2710
